City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lazaro cardenas,17.96,-102.2,81.84,74,0,9.13,MX,1604363836
punta arenas,-53.15,-70.92,51.8,50,75,6.93,CL,1604363537
mahebourg,-20.41,57.7,71.6,73,75,10.29,MU,1604364175
tiksi,71.69,128.87,4.05,93,100,3.62,RU,1604364175
katsuura,35.13,140.3,62.6,93,75,4.7,JP,1604364175
lebu,-37.62,-73.65,50.94,92,30,11.68,CL,1604364176
pacific grove,36.62,-121.92,64.4,72,1,3.36,US,1604364064
avarua,-21.21,-159.78,73.4,78,100,11.41,CK,1604364016
urucara,-2.54,-57.76,82.74,64,17,1.1,BR,1604364176
wasilla,61.58,-149.44,21.2,34,1,23.04,US,1604364177
garowe,8.41,48.48,75.97,67,24,12.97,SO,1604364177
geraldton,-28.77,114.6,64.4,88,90,9.17,AU,1604364177
albany,42.6,-73.97,36.0,64,95,5.77,US,1604364178
floirac,44.83,-0.51,55.99,82,100,3.36,FR,1604364178
tabou,4.42,-7.35,77.92,86,0,4.16,CI,1604364178
bluff,-46.6,168.33,61.0,66,0,4.0,NZ,1604364034
jizan,17.33,42.67,82.4,74,0,5.82,SA,1604364127
horta,38.53,-28.63,62.11,66,97,15.59,PT,1604364179
makakilo city,21.35,-158.09,87.8,62,1,11.41,US,1604363531
dikson,73.51,80.55,14.32,94,99,11.59,RU,1604364025
karratha,-20.74,116.85,83.7,26,0,4.12,AU,1604364180
ilulissat,69.22,-51.1,19.4,62,100,18.34,GL,1604364181
vaini,-21.2,-175.2,78.8,83,75,14.99,TO,1604364181
bati,11.18,40.02,59.38,55,0,4.72,ET,1604364181
maine-soroa,13.21,12.02,80.1,24,98,12.71,NE,1604364181
alta floresta,-9.88,-56.09,71.37,92,85,0.81,BR,1604363746
mataura,-46.19,168.86,61.0,64,0,3.0,NZ,1604364006
faya,18.39,42.45,55.4,32,0,1.36,SA,1604364182
nueva loja,0.08,-76.88,74.08,90,100,1.72,EC,1604364182
kodiak,57.79,-152.41,28.4,50,1,20.8,US,1604364183
dondo,-19.61,34.74,71.6,88,20,3.36,MZ,1604363785
maceio,-9.67,-35.74,77.0,88,75,5.82,BR,1604363694
salalah,17.02,54.09,71.6,46,0,5.82,OM,1604364015
saint-augustin,51.23,-58.65,47.43,80,100,38.23,CA,1604364183
lumeje,-11.55,20.78,70.99,62,91,4.29,AO,1604364184
mount isa,-20.73,139.5,96.8,14,0,14.99,AU,1604364138
boa viagem,-5.13,-39.73,80.19,63,97,1.41,BR,1604364184
lorengau,-2.02,147.27,87.12,63,8,1.57,PG,1604364184
thinadhoo,0.53,72.93,83.12,73,76,6.67,MV,1604363795
kralendijk,12.15,-68.27,82.4,83,14,10.29,BQ,1604364077
kapaa,22.08,-159.32,82.4,74,90,14.99,US,1604364185
upernavik,72.79,-56.15,16.16,91,96,7.67,GL,1604364185
bonthe,7.53,-12.51,78.62,83,1,4.65,SL,1604364186
yellowknife,62.46,-114.35,10.99,92,90,9.17,CA,1604364186
manto,14.92,-86.38,69.94,85,100,5.86,HN,1604364186
cherskiy,68.75,161.3,-3.84,90,100,10.71,RU,1604364187
iqaluit,63.75,-68.51,15.8,72,90,20.8,CA,1604364187
bambous virieux,-20.34,57.76,71.6,73,75,10.29,MU,1604363784
saint-philippe,-21.36,55.77,69.8,60,75,6.93,RE,1604364187
joacaba,-27.18,-51.5,58.64,71,28,3.83,BR,1604364187
saskylakh,71.92,114.08,9.3,95,100,8.7,RU,1604364188
fountain,38.68,-104.7,64.4,16,1,5.82,US,1604364041
chokurdakh,70.63,147.92,-13.31,87,25,9.71,RU,1604364188
bubaque,11.28,-15.83,83.61,75,0,12.77,GW,1604363814
denpasar,-8.65,115.22,82.62,64,0,0.22,ID,1604363900
severo-kurilsk,50.68,156.12,43.66,88,100,29.15,RU,1604364189
sulat,11.81,125.45,84.96,67,100,3.6,PH,1604364189
qaqortoq,60.72,-46.03,26.6,49,100,4.7,GL,1604364189
riachao,-7.36,-46.62,74.28,86,64,3.13,BR,1604364190
lewistown,40.6,-77.57,41.0,41,1,12.75,US,1604364190
hobart,-42.88,147.33,80.01,40,0,12.75,AU,1604364128
hilo,19.73,-155.09,84.2,66,90,10.29,US,1604364162
shahr-e kord,32.33,50.86,26.6,42,0,2.24,IR,1604364191
buin,-33.73,-70.75,70.0,55,0,11.41,CL,1604364191
broken hill,-31.95,141.43,84.2,18,0,12.75,AU,1604364191
bredasdorp,-34.53,20.04,64.4,88,97,10.29,ZA,1604364191
ewa beach,21.32,-158.01,87.8,62,1,11.41,US,1604364124
thompson,55.74,-97.86,21.2,92,90,5.82,CA,1604364192
marawi,8.0,124.29,82.0,73,100,5.01,PH,1604364055
narsaq,60.92,-46.05,26.6,49,100,4.7,GL,1604364192
cordoba,-31.41,-64.18,71.01,45,0,8.05,AR,1604364192
yumen,40.28,97.2,37.49,64,77,9.4,CN,1604363795
wilmington,34.23,-77.94,48.0,56,1,3.36,US,1604364121
asau,46.43,26.4,46.99,89,100,4.27,RO,1604364193
pisco,-13.7,-76.22,64.4,82,90,11.41,PE,1604364193
camacha,33.08,-16.33,68.0,77,40,9.17,PT,1604364193
nizhnyaya omka,55.43,74.94,29.98,96,100,7.74,RU,1604364194
bardstown,37.81,-85.47,41.0,44,1,5.61,US,1604364194
esperance,-33.87,121.9,59.0,100,75,10.29,AU,1604363941
busselton,-33.65,115.33,60.01,92,36,10.36,AU,1604364004
eenhana,-17.47,16.33,80.6,11,29,8.05,NA,1604364031
petropavlovsk-kamchatskiy,53.05,158.65,44.6,81,40,11.18,RU,1604363789
bathsheba,13.22,-59.52,82.4,74,40,20.8,BB,1604364195
abnub,27.27,31.15,73.4,53,0,6.93,EG,1604363772
carnarvon,-24.87,113.63,69.8,60,2,19.46,AU,1604364196
sanming,26.25,117.62,67.62,59,27,4.85,CN,1604364196
las palmas,28.42,-14.01,69.8,77,40,10.29,ES,1604364197
sabang,5.89,95.32,81.48,78,78,4.54,ID,1604364197
deputatskiy,69.3,139.9,-11.78,82,11,2.37,RU,1604363792
arraial do cabo,-22.97,-42.03,68.67,60,16,5.3,BR,1604363764
bambanglipuro,-7.95,110.28,82.18,71,18,3.87,ID,1604363825
nikolskoye,59.7,30.79,44.6,81,75,8.95,RU,1604364026
sweetwater,25.76,-80.37,75.2,57,75,19.46,US,1604364121
petrov val,50.14,45.21,43.66,66,100,2.84,RU,1604364198
svetlogorsk,52.63,29.73,38.52,95,0,0.69,BY,1604364198
cape town,-33.93,18.42,66.0,88,0,9.17,ZA,1604363489
binzhou,37.37,118.02,47.82,45,0,1.25,CN,1604364199
soyo,-6.13,12.37,77.83,87,22,8.03,AO,1604364199
brewster,41.4,-73.62,36.0,47,1,11.41,US,1604364199
kerema,-7.96,145.78,77.95,87,100,3.44,PG,1604364199
hermanus,-34.42,19.23,64.0,85,11,8.99,ZA,1604364003
mehamn,71.04,27.85,42.04,85,100,27.27,NO,1604364200
nyurba,63.28,118.33,9.36,85,100,8.41,RU,1604363807
tazmalt,36.39,4.4,60.8,67,0,11.41,DZ,1604364200
zhongxing,33.7,118.68,52.66,40,17,10.31,CN,1604364200
bowen,-20.02,148.23,80.6,61,75,21.92,AU,1604364201
aguimes,27.91,-15.45,69.8,77,20,14.99,ES,1604363821
bakchar,57.02,82.07,29.77,99,100,5.17,RU,1604364201
pevek,69.7,170.31,9.61,92,100,24.2,RU,1604364201
bograd,54.23,90.83,33.8,97,40,4.47,RU,1604364202
umm lajj,25.02,37.27,78.49,71,94,7.96,SA,1604364202
jega,12.22,4.38,77.52,33,86,6.85,NG,1604364202
saint marys,30.73,-81.55,57.0,50,1,4.7,US,1604364027
dingle,11.0,122.67,83.32,80,100,9.35,PH,1604364203
new norfolk,-42.78,147.06,80.01,25,68,3.0,AU,1604363771
myrtle beach,33.69,-78.89,44.6,49,1,4.7,US,1604364099
meulaboh,4.14,96.13,78.08,89,100,3.76,ID,1604364204
ndola,-12.96,28.64,62.08,89,38,2.8,ZM,1604364204
lavrentiya,65.58,-171.0,21.24,87,2,2.82,RU,1604364024
praia,14.92,-23.51,78.8,50,0,11.41,CV,1604363776
kailua,21.4,-157.74,82.4,65,40,8.05,US,1604364204
seoul,37.57,126.98,44.6,30,1,15.03,KR,1604364183
dunedin,-45.87,170.5,62.01,60,97,3.0,NZ,1604363835
viedma,-40.81,-63.0,71.01,47,100,1.99,AR,1604364205
salinopolis,-0.61,-47.36,80.28,81,0,10.09,BR,1604363631
ayan,56.45,138.17,15.76,94,63,24.83,RU,1604364206
conceicao do rio verde,-21.88,-45.09,55.76,87,21,6.38,BR,1604364206
khandyga,62.67,135.6,-8.12,84,0,2.91,RU,1604364206
lagoa,39.05,-27.98,62.2,62,100,14.03,PT,1604364206
muros,42.78,-9.06,46.99,95,22,1.01,ES,1604363791
zhoucheng,35.91,116.31,51.01,1,100,4.09,CN,1604364207
dabat,12.98,37.77,52.29,67,0,4.36,ET,1604364207
labuhan,-6.88,112.21,82.24,74,100,6.04,ID,1604363814
qaanaaq,77.48,-69.36,9.25,78,100,4.34,GL,1604364208
jiquilisco,13.32,-88.58,80.6,69,20,4.7,SV,1604364208
sao filipe,14.9,-24.5,80.73,58,99,4.34,CV,1604363809
canton,23.12,113.25,69.8,56,0,8.95,CN,1604364209
faanui,-16.48,-151.75,80.11,80,2,18.57,PF,1604364209
penzance,50.12,-5.54,46.0,93,100,27.51,GB,1604364209
saint anthony,45.02,-93.22,53.6,43,1,4.7,US,1604363660
port blair,11.67,92.75,81.34,77,66,5.61,IN,1604363804
ixtapa,20.7,-105.2,84.2,74,5,8.05,MX,1604363786
berezovyy,51.67,135.7,30.09,93,100,2.55,RU,1604364210
kungurtug,50.6,97.52,20.79,86,91,0.72,RU,1604364211
vestmanna,62.16,-7.17,44.6,81,4,14.99,FO,1604364211
leshukonskoye,64.9,45.76,33.67,91,100,12.82,RU,1604363813
kruisfontein,-34.0,24.73,57.99,95,2,5.55,ZA,1604363826
hasaki,35.73,140.83,59.0,93,75,4.7,JP,1604364015
tura,25.52,90.22,71.6,90,100,1.1,IN,1604363948
ekhabi,53.51,142.97,35.47,81,91,7.45,RU,1604364212
victoria,22.29,114.16,73.0,69,11,9.75,HK,1604363782
kaniama,-7.57,24.18,66.29,95,92,1.52,CD,1604364212
paamiut,61.99,-49.67,33.67,84,100,22.95,GL,1604363837
otane,-39.88,176.63,63.0,78,100,11.01,NZ,1604364213
roma,43.21,-75.46,34.0,80,90,5.82,US,1604364114
corralillo,22.98,-80.59,77.68,85,100,22.06,CU,1604364213
puerto ayora,-0.74,-90.35,70.0,93,95,8.01,EC,1604363772
fairbanks,64.84,-147.72,-9.0,76,90,2.33,US,1604364033
bidor,4.11,101.29,75.2,88,20,2.24,MY,1604364214
kristianstad,56.03,14.15,53.6,76,0,11.43,SE,1604364214
aberdeen,57.14,-2.1,41.0,86,100,6.93,GB,1604364107
ponta do sol,32.67,-17.1,69.8,77,40,16.11,PT,1604363789
port hardy,50.7,-127.42,50.0,100,90,21.92,CA,1604363780
araouane,18.9,-3.53,81.32,16,100,6.91,ML,1604363790
beringovskiy,63.05,179.32,28.11,90,100,7.54,RU,1604364215
cap malheureux,-19.98,57.61,66.99,76,37,1.99,MU,1604364216
ribeira grande,38.52,-28.7,62.64,66,99,16.91,PT,1604363776
mizan teferi,6.98,35.58,60.62,88,0,2.66,ET,1604364216
diriamba,11.86,-86.24,82.4,74,40,6.93,NI,1604364216
cidreira,-30.18,-50.21,62.38,76,4,6.71,BR,1604364217
oranjemund,-28.55,16.43,61.48,88,93,7.2,NA,1604363790
mandurah,-32.55,115.7,62.01,83,35,1.99,AU,1604364217
sisimiut,66.94,-53.67,19.31,85,100,18.66,GL,1604363801
grindavik,63.84,-22.43,41.0,86,75,25.28,IS,1604363788
carutapera,-1.2,-46.02,79.05,82,0,6.62,BR,1604364005
porto velho,-8.76,-63.9,80.6,78,40,4.7,BR,1604364149
dehloran,32.69,47.27,64.96,27,0,1.99,IR,1604364218
nanortalik,60.14,-45.24,34.56,80,100,11.59,GL,1604363807
shitkino,56.37,98.35,27.39,96,53,6.69,RU,1604364219
longyearbyen,78.22,15.64,32.0,96,75,53.02,SJ,1604364219
lasa,46.62,10.7,42.8,100,40,3.36,IT,1604363773
sioux lookout,50.1,-91.92,32.0,96,75,2.24,CA,1604363781
dalvik,65.97,-18.53,37.4,87,90,16.11,IS,1604364220
sovetskiy,61.36,63.58,25.09,97,2,5.66,RU,1604364220
rocha,-34.48,-54.33,52.74,93,0,4.72,UY,1604363809
omboue,-1.57,9.26,75.04,92,75,3.85,GA,1604364220
olafsvik,64.89,-23.71,39.11,81,100,17.69,IS,1604364220
saint-pierre,-21.34,55.48,69.8,60,75,6.93,RE,1604364221
ranfurly,-45.13,170.1,60.01,64,100,1.01,NZ,1604364221
aparecida,-22.85,-45.23,58.06,82,88,1.83,BR,1604364221
manica,49.0,-1.17,46.4,81,0,8.05,FR,1604364221
portland,45.52,-122.68,64.99,42,40,9.17,US,1604363531
charlestown,-32.95,151.67,73.0,64,40,13.87,AU,1604363942
am timan,11.03,20.28,77.59,40,38,3.29,TD,1604364222
vikhorevka,56.12,101.16,28.0,100,75,8.95,RU,1604364222
belmonte,-15.86,-38.88,69.8,88,90,4.7,BR,1604364068
zhaotong,27.32,103.72,42.93,69,100,5.35,CN,1604363946
sobolevo,54.43,31.9,40.73,95,28,4.09,RU,1604364223
georgetown,5.41,100.34,78.8,94,20,5.82,MY,1604364224
svetlaya,46.54,138.33,37.99,67,4,10.58,RU,1604364224
pemba,-12.97,40.52,77.0,83,75,6.93,MZ,1604364224
havre-saint-pierre,50.23,-63.6,37.4,93,90,12.75,CA,1604364225
torbay,47.67,-52.73,59.0,93,90,40.26,CA,1604364225
hofn,64.25,-15.21,42.93,62,97,12.19,IS,1604364225
hobyo,5.35,48.53,79.81,81,94,11.18,SO,1604363833
altay,47.87,88.12,28.09,82,58,1.77,CN,1604364226
horsham,51.06,-0.33,46.99,81,0,6.93,GB,1604364016
carmen,18.63,-91.83,77.0,88,90,18.34,MX,1604363999
sibolga,1.74,98.78,79.83,72,100,2.13,ID,1604364226
alofi,-19.06,-169.92,80.6,78,75,23.04,NU,1604364226
krasnoselkup,65.7,82.47,19.15,97,98,11.23,RU,1604364227
sokoni,-6.43,39.55,75.2,88,40,5.82,TZ,1604364227
madang,-5.22,145.8,90.18,57,39,4.16,PG,1604364227
pecos,31.42,-103.49,71.6,24,1,10.29,US,1604364140
vila franca do campo,37.72,-25.43,60.8,72,40,8.05,PT,1604363785
ostrovnoy,68.05,39.51,40.32,85,100,32.17,RU,1604364228
airai,-8.93,125.41,77.41,38,98,4.79,TL,1604364228
khatanga,71.97,102.5,9.19,96,100,7.34,RU,1604364053
yavas,54.42,42.85,39.09,92,6,5.68,RU,1604364229
natchez,31.56,-91.4,51.8,57,1,5.82,US,1604364229
botou,38.07,116.57,46.09,42,0,1.21,CN,1604364229
port elizabeth,-33.92,25.57,64.4,88,0,13.87,ZA,1604363784
ruston,32.52,-92.64,46.4,87,1,2.39,US,1604364230
conceicao da barra,-18.59,-39.73,69.19,77,20,10.11,BR,1604364230
ugoofaaru,5.67,73.0,82.53,72,13,5.39,MV,1604364231
tokur,53.13,132.9,13.91,91,100,5.77,RU,1604364231
kokoda,-8.88,147.74,86.34,58,100,2.42,PG,1604364231
petrodvorets,59.88,29.9,45.0,81,75,8.95,RU,1604364231
ottumwa,41.02,-92.41,50.0,49,1,8.05,US,1604364232
nouadhibou,20.93,-17.03,71.6,64,0,18.34,MR,1604364232
daru,-9.08,143.21,83.98,77,100,14.14,PG,1604364232
tasiilaq,65.61,-37.64,30.2,46,0,5.82,GL,1604364233
awjilah,29.11,21.29,61.63,71,0,9.17,LY,1604364233
arlit,18.74,7.39,73.42,21,0,7.72,NE,1604364233
epe,6.58,3.98,76.35,90,96,2.37,NG,1604364233
tuatapere,-46.13,167.68,61.0,66,0,4.0,NZ,1604364007
ancud,-41.87,-73.82,53.01,87,90,5.82,CL,1604364234
cabo san lucas,22.89,-109.91,84.2,65,20,4.7,MX,1604363560
te anau,-45.42,167.72,66.85,40,6,2.15,NZ,1604364234
diego de almagro,-26.37,-70.05,55.6,44,0,1.41,CL,1604363779
westport,41.14,-73.36,39.99,44,1,10.29,US,1604363964
roald,62.58,6.13,46.4,81,100,9.17,NO,1604364235
ulladulla,-35.35,150.47,68.0,60,20,5.82,AU,1604364061
zhuhai,22.28,113.57,72.0,73,20,18.34,CN,1604364236
boueni,-12.9,45.08,75.2,83,20,2.24,YT,1604364236
guerrero negro,27.98,-114.06,70.79,70,0,14.41,MX,1604363795
taoudenni,22.68,-3.98,77.38,18,100,7.7,ML,1604364236
gushikawa,26.35,127.87,75.2,78,90,18.34,JP,1604364236
talnakh,69.49,88.4,12.2,92,40,2.24,RU,1604364237
kaffrine,14.11,-15.55,82.4,83,0,4.76,SN,1604364237
payo,-3.75,103.64,74.28,94,100,1.9,ID,1604364237
araure,9.56,-69.21,66.2,100,99,9.17,VE,1604364237
san luis,-33.3,-66.34,70.86,29,2,9.53,AR,1604363942
okhotsk,59.38,143.3,31.39,96,100,28.05,RU,1604364238
isangel,-19.55,169.27,75.25,92,100,11.83,VU,1604364238
hamilton,39.18,-84.53,44.01,41,1,9.17,US,1604364198
henties bay,-22.12,14.28,57.99,90,0,1.99,NA,1604363831
cayenne,4.93,-52.33,77.0,100,0,1.12,GF,1604364239
getulio vargas,-32.68,-53.55,55.29,91,20,5.86,UY,1604364239
orichi,58.4,49.06,27.99,95,0,4.81,RU,1604364240
norman wells,65.28,-126.83,10.4,85,90,3.36,CA,1604363780
touros,-5.2,-35.46,78.8,83,20,9.17,BR,1604364240
kemijarvi,66.71,27.43,47.46,90,97,10.4,FI,1604364240
berlevag,70.86,29.09,43.54,82,98,30.87,NO,1604364241
padang,-0.95,100.35,80.53,71,100,1.01,ID,1604364027
saint-joseph,-21.37,55.62,69.8,56,90,5.82,RE,1604363791
christchurch,-43.53,172.63,55.4,76,100,20.8,NZ,1604363996
methoni,36.82,21.7,61.0,82,0,4.7,GR,1604364242
polunochnoye,60.87,60.42,22.08,97,0,3.24,RU,1604364242
lata,40.16,-8.33,59.0,83,100,1.99,PT,1604363816
nabire,-3.37,135.48,87.22,62,90,3.67,ID,1604363782
tual,-5.67,132.75,82.56,77,100,9.35,ID,1604363802
iberia,29.95,-91.75,57.2,47,1,6.93,US,1604364243
polson,47.69,-114.16,44.01,61,0,1.07,US,1604364244
coswig,51.13,13.58,61.0,82,0,6.93,DE,1604364244
lloydminster,53.28,-110.0,51.8,50,75,8.05,CA,1604364007
bousso,10.48,16.71,78.8,52,0,2.71,TD,1604364244
batesville,35.77,-91.64,51.8,40,1,4.7,US,1604364245
darbhanga,26.17,85.9,67.6,49,5,5.84,IN,1604364245
praia da vitoria,38.73,-27.07,62.6,63,75,12.17,PT,1604364245
idappadi,11.58,77.85,73.63,85,0,1.83,IN,1604364245
laje,-10.18,-40.97,70.61,85,100,0.94,BR,1604364246
terrace bay,48.78,-87.1,39.2,64,11,4.7,CA,1604364246
mahajanga,-15.72,46.32,77.0,57,40,9.17,MG,1604364246
sao paulo do potengi,-5.89,-35.76,80.6,83,20,9.17,BR,1604364246
vestmannaeyjar,63.44,-20.27,43.29,71,100,30.89,IS,1604363783
east london,-33.02,27.91,66.25,85,33,12.71,ZA,1604363533
vila velha,-20.33,-40.29,70.0,68,20,8.05,BR,1604363807
buckeye,33.37,-112.58,91.4,11,1,9.17,US,1604364248
lima,-12.04,-77.03,64.4,77,75,13.87,PE,1604364161
gao,16.64,1.64,75.63,19,0,11.39,ML,1604364248
pimentel,-6.84,-79.93,64.4,77,0,16.11,PE,1604364248
rawlins,41.79,-107.24,55.4,22,1,11.41,US,1604364248
neryungri,56.67,124.65,-4.54,86,4,5.35,RU,1604364249
hammerfest,70.66,23.68,41.0,93,75,23.04,NO,1604364249
gurgentepe,40.79,37.6,57.2,100,75,2.26,TR,1604364249
dali,25.7,100.18,59.18,88,100,3.2,CN,1604364250
kemi,65.86,24.82,48.2,93,100,17.22,FI,1604364250
bulgan,48.81,103.53,27.16,81,0,2.48,MN,1604364250
gilbues,-9.83,-45.34,70.68,88,84,2.59,BR,1604364250
ucluelet,48.93,-125.55,52.0,81,90,13.87,CA,1604364250
sitka,57.05,-135.33,42.8,88,90,9.17,US,1604364251
price,39.6,-110.81,62.6,18,1,3.36,US,1604363813
manadhoo,5.77,73.38,82.42,73,9,6.15,MV,1604364251
trairi,-3.28,-39.27,79.81,78,0,10.25,BR,1604364252
nadym,65.53,72.52,14.0,95,0,10.47,RU,1604364252
takhtamygda,54.1,123.57,8.19,83,14,7.36,RU,1604364252
hoquiam,46.98,-123.89,54.0,81,1,3.36,US,1604364252
campo alegre,-9.78,-36.35,77.0,88,75,5.82,BR,1604364253
saraland,30.82,-88.07,57.2,35,1,9.17,US,1604364253
quatre cocos,-20.21,57.76,71.6,73,75,10.29,MU,1604364253
hauterive,46.09,3.45,51.8,93,90,10.29,FR,1604364253
jalu,29.03,21.55,61.65,69,0,8.72,LY,1604364254
ahipara,-35.17,173.17,70.48,68,100,13.49,NZ,1604364254
bengkulu,-3.8,102.27,76.93,85,96,3.6,ID,1604363796
saint george,37.1,-113.58,73.4,20,1,12.75,US,1604363814
pochutla,15.74,-96.47,82.4,69,20,11.41,MX,1604364255
bhopal,23.27,77.4,57.2,62,0,4.61,IN,1604364251
port-gentil,-0.72,8.78,77.85,85,32,7.63,GA,1604364255
lumphat,13.49,106.98,74.01,76,23,3.2,KH,1604364255
vicuna,-30.03,-70.71,68.0,35,0,1.21,CL,1604364255
nakusp,50.25,-117.8,35.6,93,3,2.24,CA,1604364256
monterey,36.25,-121.25,90.0,56,1,6.93,US,1604364101
varhaug,58.61,5.65,45.0,99,11,5.01,NO,1604363793
urengoy,65.97,78.37,19.27,97,100,10.04,RU,1604364256
bilma,18.69,12.92,70.23,23,25,8.97,NE,1604363811
brae,60.4,-1.35,48.2,76,69,21.92,GB,1604364257
atambua,-9.11,124.89,88.12,40,35,3.4,ID,1604364257
xai-xai,-25.05,33.64,67.91,84,0,5.17,MZ,1604363786
angoche,-16.23,39.91,77.31,82,23,6.2,MZ,1604363832
pietarsaari,63.65,22.68,51.8,93,40,11.41,FI,1604364258
pangnirtung,66.15,-65.71,15.84,81,100,11.34,CA,1604364258
ust-nera,64.57,143.2,-13.23,78,5,4.34,RU,1604363782
luderitz,-26.65,15.16,60.37,83,25,4.74,NA,1604364258
mackenzie,55.3,-123.17,41.0,80,90,3.36,CA,1604363794
xining,36.62,101.77,36.01,71,100,2.17,CN,1604364259
vohibinany,-17.35,49.03,66.36,76,99,1.95,MG,1604364259
auki,-8.77,160.7,77.25,91,100,1.34,SB,1604364259
wanxian,30.8,108.39,59.79,80,100,0.49,CN,1604364260
lovozero,68.0,35.01,35.78,94,100,12.28,RU,1604364260
hay river,60.82,-115.8,17.6,92,100,6.93,CA,1604364260
hervey bay,-25.3,152.85,78.01,60,0,5.01,AU,1604364260
taft,31.75,54.21,51.8,23,0,4.7,IR,1604364260
gornozavodsk,58.38,58.32,23.32,97,9,1.74,RU,1604364261
shaunavon,49.65,-108.42,50.0,43,0,11.41,CA,1604364186
tomakivka,47.82,34.74,46.4,100,75,4.14,UA,1604364261
maicao,11.38,-72.24,78.21,86,100,6.02,CO,1604364261
xichang,27.9,102.26,52.99,64,100,0.94,CN,1604364262
yaan,7.38,8.57,75.78,77,99,3.11,NG,1604364262
leningradskiy,69.38,178.42,17.74,96,100,17.02,RU,1604364007
isla vista,34.41,-119.86,66.0,82,90,4.7,US,1604364177
sampit,-2.53,112.95,81.12,80,100,2.73,ID,1604364263
bichura,50.59,107.6,23.54,85,75,1.14,RU,1604364263
chuy,-33.7,-53.46,56.39,92,0,6.44,UY,1604364263
comarapa,-17.9,-64.48,58.3,56,3,1.52,BO,1604364263
manzhouli,49.6,117.43,15.69,79,0,15.93,CN,1604363817
yining,29.04,114.56,60.85,49,20,6.29,CN,1604364264
antofagasta,-23.65,-70.4,59.0,77,90,13.87,CL,1604364154
akyab,20.15,92.9,79.16,84,100,4.92,MM,1604364264
nanga eboko,4.68,12.37,67.6,96,69,1.86,CM,1604363790
oistins,13.07,-59.53,82.4,74,40,20.8,BB,1604364265
masakin,35.73,10.58,64.0,100,0,4.7,TN,1604364265
zanjan,36.67,48.48,54.27,38,80,3.47,IR,1604364265
nemuro,43.32,145.57,51.8,66,20,4.7,JP,1604364266
kampot,10.62,104.18,78.8,88,20,5.06,KH,1604364266
luba,3.46,8.55,73.4,100,40,3.36,GQ,1604364267
santa helena de goias,-17.81,-50.6,71.29,44,0,8.59,BR,1604364267
san carlos de bariloche,-41.15,-71.31,59.0,51,75,12.75,AR,1604364267
malanje,-9.54,16.34,64.38,99,78,3.65,AO,1604364267
puerto escondido,15.85,-97.07,84.2,66,75,3.36,MX,1604363834
kutum,14.2,24.67,68.99,34,2,17.0,SD,1604364268
dvinskoy,62.15,45.12,32.83,93,100,8.34,RU,1604364268
samarai,-10.62,150.67,84.09,73,100,7.45,PG,1604364268
port lincoln,-34.73,135.87,80.85,26,100,17.6,AU,1604363781
veraval,20.9,70.37,78.57,40,0,13.56,IN,1604364006
ojinaga,29.57,-104.42,73.4,27,1,3.36,MX,1604364269
